Depth,Res
3289,1.460000038
3290,1.460000038
3291,1.460000038
3292,1.460000038
3293,1.470000029
3294,1.470000029
3295,1.49000001
3296,1.509999991
3297,1.549999952
3298,1.580000043
3299,1.600000024
3300,1.620000005
3301,1.620000005
3302,1.610000014
3303,1.600000024
3304,1.590000033
3305,1.580000043
3306,1.570000053
3307,1.559999943
3308,1.549999952
3309,1.539999962
3310,1.529999971
3311,1.519999981
3312,1.509999991
3313,1.5
3314,1.480000019
3315,1.450000048
3316,1.419999957
3317,1.419999957
3318,1.440000057
3319,1.460000038
3320,1.460000038
3321,1.440000057
3322,1.379999995
3323,1.350000024
3324,1.350000024
3325,1.389999986
3326,1.539999962
3327,1.74000001
3328,1.960000038
3329,2.140000105
3330,2.230000019
3331,2.210000038
3332,2.170000076
3333,2.099999905
3334,2.019999981
3335,1.929999948
3336,1.850000024
3337,1.75
3338,1.649999976
3339,1.590000033
3340,1.590000033
3341,1.649999976
3342,1.789999962
3343,1.840000033
3344,1.860000014
3345,1.850000024
3346,1.820000053
3347,1.789999962
3348,1.75
3349,1.700000048
3350,1.649999976
3351,1.600000024
3352,1.559999943
3353,1.529999971
3354,1.49000001
3355,1.450000048
3356,1.419999957
3357,1.389999986
3358,1.360000014
3359,1.340000033
3360,1.310007215
3361,1.299999952
3362,1.279999971
3363,1.279999971
3364,1.269999981
3365,1.279999971
3366,1.279999971
3367,1.279999971
3368,1.269999981
3369,1.259995103
3370,1.239995122
3371,1.219995141
3372,1.200004935
3373,1.190002441
3374,1.170004845
3375,1.159999967
3376,1.159999967
3377,1.159999967
3378,1.159999967
3379,1.169999957
3380,1.169999957
3381,1.169999957
3382,1.169999957
3383,1.170002341
3384,1.180002332
3385,1.190000057
3386,1.190000057
3387,1.209995151
3388,1.24000001
3389,1.259999991
3390,1.279999971
3391,1.299999952
3392,1.309999943
3393,1.320000053
3394,1.330000043
3395,1.330000043
3396,1.330000043
3397,1.330000043
3398,1.329997659
3399,1.320002437
3400,1.320000053
3401,1.320000053
3402,1.320000053
3403,1.309999943
3404,1.309999943
3405,1.299999952
3406,1.299999952
3407,1.299999952
3408,1.299999952
3409,1.289999962
3410,1.289997578
3411,1.279999971
3412,1.279999971
3413,1.279999971
3414,1.279999971
3415,1.279999971
3416,1.279999971
3417,1.279999971
3418,1.289999962
3419,1.289999962
3420,1.299999952
3421,1.320000053
3422,1.350000024
3423,1.379999995
3424,1.410014629
3425,1.470024467
3426,1.570044041
3427,1.749956012
3428,1.470068336
3429,1.330000043
3430,1.289999962
3431,1.279999971
3432,1.289999962
3433,1.299999952
3434,1.350000024
3435,1.429999948
3436,1.509999991
3437,1.610000014
3438,1.720046401
3439,1.910019517
3440,1.989980459
3441,1.900021911
3442,1.86000979
3443,1.929999948
3444,2.349999905
3445,2.539999962
3446,2.700000048
3447,2.759999991
3448,2.779999971
3449,2.799999952
3450,3.079999924
3451,5.000114918
3452,5.470170498
3453,6.17115736
3454,10.90884304
3455,11.27990913
3456,11.65990734
3457,8.630000114
3458,5.5
3459,5.130000114
3460,4.809999943
3461,5.019999981
3462,5.449999809
3463,5.650000095
3464,5.590000153
3465,5.389858246
3466,4.80978775
3467,3.939917088
3468,3.600082874
3469,3.370056152
3470,3.230000019
3471,3.220000029
3472,3.319999933
3473,3.430000067
3474,3.539999962
3475,3.609999895
3476,3.630000114
3477,3.509999991
3478,3.289946318
3479,3.069960833
3480,2.909965992
3481,2.770034075
3482,2.650029421
3483,2.520031691
3484,2.380000114
3485,2.24000001
3486,2.059999943
3487,1.850000024
3488,1.49000001
3489,1.929999948
3490,2.019999981
3491,1.909999967
3492,1.530021906
3493,1.620021939
3494,1.71000731
3495,1.739992738
3496,1.720004916
3497,1.649999976
3498,1.559999943
3499,1.5
3500,1.450000048
3501,1.409999967
3502,1.379999995
3503,1.340000033
3504,1.330000043
3505,1.320000053
3506,1.330004931
3507,1.350012183
3508,1.399987817
3509,1.489978075
3510,1.639963388
3511,1.889999986
3512,2.210000038
3513,2.680000067
3514,3.059999943
3515,3.910000086
3516,16.64999962
3517,60.86999893
3518,114.8499985
3519,165.1897278
3520,164.0425263
3521,51.51973724
3522,50.44026184
3523,57.6782341
3524,98.70998383
3525,111.5699997
3526,63.29999924
3527,47.47000122
3528,73.68000031
3529,115.7300034
3530,129.5
3531,138.4400024
3532,140.4600067
3533,114.6965332
3534,59.54425049
3535,36.00015259
3536,36.61984634
3537,36.6499939
3538,34.02999878
3539,23.15999985
3540,17.39999962
3541,13.11999989
3542,13.52999973
3543,13.77999973
3544,12.94999981
3545,8.600000382
3546,6.610000134
3547,5.739816666
3548,4.98992157
3549,4.670078278
3550,4.400065899
3551,4.180053711
3552,3.700000048
3553,3.49000001
3554,3.289999962
3555,3.220000029
3556,3.140000105
3557,3.059999943
3558,2.970000029
3559,2.910000086
3560,2.859997511
3561,2.849987745
3562,2.799995184
3563,2.78000474
3564,2.730012178
3565,2.67001462
3566,2.609999895
3567,2.769999981
3568,2.619999886
3569,2.609999895
3570,2.339999914
3571,2.119999886
3572,2
3573,1.909999967
3574,1.819987893
3575,1.769987822
3576,1.720012188
3577,1.670012116
3578,1.63000977
3579,1.649999976
3580,1.799999952
3581,2.220000029
3582,2.569999933
3583,2.789999962
3584,2.920000076
3585,3.009999991
3586,3.259999991
3587,3.790117264
3588,4.270119667
3589,4.760066032
3590,5.029934406
3591,5.289936543
3592,5.080051422
3593,4.679999828
3594,4.929999828
3595,5.03000021
3596,4.980000019
3597,4.800000191
3598,4
3599,3.420000076
3600,3.130000114
